source_dataset,large_category_code,large_category_name,representative_source_code,representative_source_name,middle_category_code,middle_category_name,canonical_name,aliases,parent_mode,is_raw_material,reason,requested_by
MFDS,06,두부류 또는 묵류,06001,두부,,,두부,,INDEPENDENT,false,MFDS 가공식품 대표식품 두부 1053행. 연두부·부침두부·찌개두부·순두부는 form이며 별도 Ingredient가 아니다,PM_SCENARIO_2026-09
MFDS,19,유가공품류,19900,치즈,,,치즈,모짜렐라치즈|모차렐라|슬라이스치즈|체다치즈|피자치즈,INDEPENDENT,false,MFDS 가공식품 대표식품 치즈 3329행. 모짜렐라·슬라이스·체다는 form 또는 style이며 별도 Ingredient가 아니다,PM_SCENARIO_2026-09
MFDS,12,장류,12010,고추장,,,고추장,,INDEPENDENT,false,MFDS 가공식품 대표식품 고추장 590행. K-FIND 원재료성식품에 고추장 Concept이 없다,PM_SCOPE_2026-09
MFDS,13,조미식품,13203,토마토케첩,,,토마토케첩,케첩|케찹|케챱,INDEPENDENT,false,MFDS 가공식품 대표식품 토마토케첩 122행,PM_SCOPE_2026-09
MFDS,13,조미식품,13202,마요네즈,,,마요네즈,마요,INDEPENDENT,false,MFDS 가공식품 대표식품 마요네즈 150행,PM_SCOPE_2026-09
MFDS,13,조미식품,13101,식초,,,식초,양조식초|현미식초|사과식초,INDEPENDENT,false,MFDS 가공식품 대표식품 식초 838행. 발사믹식초는 style로 보고 이번 범위에서 별도 Ingredient를 만들지 않는다,PM_SCOPE_2026-09
MFDS,13,조미식품,13301,카레,,,카레,카레가루|커리,INDEPENDENT,false,MFDS 가공식품 대표식품 카레 355행,PM_SCOPE_2026-09
MFDS,19,유가공품류,19801,버터,,,버터,무염버터|가염버터,INDEPENDENT,false,MFDS 가공식품 대표식품 버터 71행. 레시피 3·6의 필수 구매 재료,PM_SCENARIO_2026-09
MFDS,06,두부류 또는 묵류,06002,유부,,,유부,,INDEPENDENT,false,MFDS 가공식품 대표식품 유부 205행. 레시피6 유부초밥의 재료,PM_SCENARIO_2026-09
MFDS,16,농산가공식품류,16708,부침가루/튀김가루/믹스,,,부침가루,튀김가루,INDEPENDENT,false,MFDS 가공식품 대표식품 부침가루/튀김가루/믹스 345행. canonical은 대표식품명보다 좁은 범위이며 basis_name에 원천명을 보존한다,PM_SCENARIO_2026-09
